Code,Name(s),Purpose,Status
E500,Sodium carbonates (i) Sodium carbonate (ii) Sodium bicarbonate (Sodium hydrogen carbonate) (iii) Sodium sesquicarbonate (acidity regulator),raising agent,Approved in the EU.[18]
E501,Potassium carbonates (i) Potassium carbonate (ii) Potassium bicarbonate (Potassium hydrogen carbonate),acidity regulator,Approved in the EU.[18]
E503,Ammonium carbonates (i) Ammonium carbonate (ii) Ammonium bicarbonate (Ammonium hydrogen carbonate),acidity regulator,Approved in the EU.[18]
E504,Magnesium carbonates (i) Magnesium carbonate (ii) Magnesium bicarbonate Magnesium hydrogen carbonate,"acidity regulator, anti-caking agent",Approved in the EU.[18]
E505,Ferrous carbonate,acidity regulator,
E507,Hydrochloric acid,acid,Approved in the EU.[18]
E508,Potassium chloride (gelling agent),seasoning,Approved in the EU.[18]
E509,Calcium chloride (sequestrant),firming agent,Approved in the EU.[18]
E510,"Ammonium chloride, ammonia solution (acidity regulator)",improving agent,
E511,Magnesium chloride,firming agent,Approved in the EU.[18]
E512,Stannous chloride,antioxidant,Approved in the EU.[18]
E513,Sulphuric acid,acid,Approved in the EU.[18]
E514,Sodium sulphates (i) Sodium sulphate (ii),acid,Approved in the EU.[18]
E515,Potassium Sulphates (i) Potassium Sulphate (ii),,Approved in the EU.[18]
E516,Calcium sulphate,,Approved in the EU.[18]
E517,Ammonium sulphate,acidity regulator,Approved in the EU.[18]
E518,"Magnesium sulphate (Epsom salts), (acidity regulator)",firming agent,
E519,Copper(II) sulphate,preservative,
E520,Aluminium sulphate,firming agent,Approved in the EU.[18]
E521,Aluminium sodium sulphate,firming agent,Approved in the EU.[18]
E522,Aluminium potassium sulphate,acidity regulator,Approved in the EU.[18]
E523,Aluminium ammonium sulphate,acidity regulator,Approved in the EU.[18]
E524,Sodium hydroxide,acidity regulator,Approved in the EU.[18]
E525,Potassium hydroxide,acidity regulator,Approved in the EU.[18]
E526,Calcium hydroxide (acidity regulator),firming agent,Approved in the EU.[18]
E527,Ammonium hydroxide,acidity regulator,Approved in the EU.[18]
E528,Magnesium hydroxide,acidity regulator,Approved in the EU.[18]
E529,Calcium oxide (acidity regulator),improving agent,Approved in the EU.[18]
E530,Magnesium oxide (acidity regulator),anti-caking agent,Approved in the EU.[18]
E535,Sodium ferrocyanide (acidity regulator),anti-caking agent,Approved in the EU.[18]
E536,Potassium ferrocyanide,anti-caking agent,Approved in the EU.[18]
E537,Ferrous hexacyanomanganate,anti-caking agent,
E538,Calcium ferrocyanide,anti-caking agent,Approved in the EU.[18]
E539,Sodium thiosulphate,antioxidant,
E540,Dicalcium diphosphate (acidity regulator),emulsifier,
E541,Sodium aluminium phosphate (i) Acidic (ii) Basic,emulsifier,Approved in the EU.[18]
E542,"Bone phosphate (Essentiale Calcium Phosphate, Tribasic)",anti-caking agent,
E543,Calcium sodium polyphosphate,emulsifier,
E544,Calcium polyphosphate,emulsifier,
E545,Ammonium polyphosphate,emulsifier,
E550,Sodium Silicates (i) Sodium silicate (ii) Sodium metasilicate,anti-caking agent,
E551,Silicon dioxide (Silica),anti-caking agent,Approved in the EU.[18]
E552,Calcium silicate,anti-caking agent,Approved in the EU.[18]
E553a,(i) Magnesium silicate (ii) Magnesium trisilicate,anti-caking agent,Approved in the EU.[18]
E553b,Talc,anti-caking agent,Approved in the EU.[18]
E554,Sodium aluminosilicate (sodium aluminium silicate),anti-caking agent,Approved in the EU.[18]
E555,Potassium aluminium silicate,anti-caking agent,Approved in the EU.[18]
E556,Calcium aluminosilicate (calcium aluminium silicate),anti-caking agent,Approved in the EU.[18]
E557,Zinc silicate,anti-caking agent,
E558,Bentonite,anti-caking agent,
E559,Aluminium silicate (Kaolin),anti-caking agent,Approved in the EU.[18]
E560,Potassium silicate,anti-caking agent,
E561,Vermiculite,,
E562,Sepiolite,,
E563,Sepiolitic clay,,
E565,Lignosulphonates,,
E566,Natrolite-phonolite,,
E570,Fatty acids,anti-caking agent,Approved in the EU.[18]
E572,"Magnesium stearate, calcium stearate (emulsifier)",anti-caking agent,
E574,Gluconic acid,acidity regulator,Approved in the EU.[18]
E575,Glucono delta-lactone (acidity regulator),sequestrant,Approved in the EU.[18]
E576,Sodium gluconate,sequestrant,Approved in the EU.[18]
E577,Potassium gluconate,sequestrant,Approved in the EU.[18]
E578,Calcium gluconate,firming agent,Approved in the EU.[18]
E579,Ferrous gluconate,food colouring,Approved in the EU.[18]
E580,Magnesium gluconate,,
E585,Ferrous lactate,food colouring,Approved in the EU.[18]
E586,4-Hexylresorcinol,antioxidant,Approved in the EU.[20]
E598,Synthetic calcium aluminates,,
E599,Perlite,,
