Code,Name(s),Purpose,Status
E701,Tetracyclines,antibiotic,
E702,Chlortetracycline,antibiotic,
E703,Oxytetracycline,antibiotic,
E704,Oleandomycin,antibiotic,
E705,Penicillin G potassium,antibiotic,
E706,Penicillin G sodium,antibiotic,
E707,Penicillin G procaine,antibiotic,
E708,Penicillin G benzathine,antibiotic,
E710,Spiramycins,antibiotic,
E711,Virginiamycins,antibiotic,
E712,Flavomycin,antibiotic,
E713,Tylosin,antibiotic,
E714,Monensin A,antibiotic,
E715,Avoparcin,antibiotic,
E716,Salinomycin,antibiotic,
E717,Avilamycin,antibiotic,
